       Step     Time          Energy          fmax
LBFGS:    0 01:48:39    -2845.795716        3.323936
LBFGS:    1 01:48:45    -2846.278673        3.327568
LBFGS:    2 01:48:52    -2847.579048        2.290838
LBFGS:    3 01:48:58    -2847.913281        6.033207
LBFGS:    4 01:49:04    -2848.368062        2.549602
LBFGS:    5 01:49:11    -2848.957483        2.261574
LBFGS:    6 01:49:17    -2849.472363        1.632724
LBFGS:    7 01:49:23    -2849.604481        1.048005
LBFGS:    8 01:49:30    -2849.766955        0.952249
LBFGS:    9 01:49:36    -2849.855578        1.048917
LBFGS:   10 01:49:43    -2849.977331        0.771129
LBFGS:   11 01:49:49    -2850.052747        0.607021
LBFGS:   12 01:49:56    -2850.110933        0.623127
LBFGS:   13 01:50:02    -2850.147617        0.470701
LBFGS:   14 01:50:08    -2850.178711        0.391973
LBFGS:   15 01:50:15    -2850.205169        0.298838
LBFGS:   16 01:50:21    -2850.229565        0.289727
LBFGS:   17 01:50:28    -2850.249423        0.346914
LBFGS:   18 01:50:34    -2850.267444        0.325404
LBFGS:   19 01:50:41    -2850.284255        0.238231
LBFGS:   20 01:50:47    -2850.299571        0.209727
LBFGS:   21 01:50:54    -2850.312525        0.185799
LBFGS:   22 01:51:00    -2850.323488        0.204752
LBFGS:   23 01:51:07    -2850.333273        0.216027
LBFGS:   24 01:51:13    -2850.342235        0.209046
LBFGS:   25 01:51:19    -2850.350076        0.226844
LBFGS:   26 01:51:26    -2850.356481        0.329424
LBFGS:   27 01:51:32    -2850.362289        0.172183
LBFGS:   28 01:51:38    -2850.367752        0.140946
LBFGS:   29 01:51:45    -2850.373670        0.129242
LBFGS:   30 01:51:51    -2850.377897        0.133875
LBFGS:   31 01:51:57    -2850.383139        0.129065
LBFGS:   32 01:52:03    -2850.387289        0.115384
LBFGS:   33 01:52:10    -2850.391355        0.110264
LBFGS:   34 01:52:16    -2850.395310        0.097503
LBFGS:   35 01:52:22    -2850.399509        0.114505
LBFGS:   36 01:52:29    -2850.403631        0.123039
LBFGS:   37 01:52:35    -2850.407461        0.111600
LBFGS:   38 01:52:41    -2850.410906        0.103055
LBFGS:   39 01:52:48    -2850.414067        0.088763
LBFGS:   40 01:52:54    -2850.416965        0.062476
LBFGS:   41 01:53:00    -2850.419573        0.067322
LBFGS:   42 01:53:06    -2850.421923        0.070321
LBFGS:   43 01:53:13    -2850.424128        0.086669
LBFGS:   44 01:53:19    -2850.426243        0.073957
LBFGS:   45 01:53:25    -2850.428257        0.053053
LBFGS:   46 01:53:32    -2850.430136        0.059001
LBFGS:   47 01:53:38    -2850.431893        0.050902
LBFGS:   48 01:53:44    -2850.433587        0.045977
LBFGS:   49 01:53:51    -2850.435233        0.048861
LBFGS:   50 01:53:57    -2850.436779        0.053058
LBFGS:   51 01:54:03    -2850.438232        0.050980
LBFGS:   52 01:54:10    -2850.439696        0.047320
LBFGS:   53 01:54:16    -2850.441270        0.050243
LBFGS:   54 01:54:22    -2850.442918        0.046514
LBFGS:   55 01:54:28    -2850.444500        0.041957
LBFGS:   56 01:54:35    -2850.445916        0.049494
LBFGS:   57 01:54:41    -2850.447234        0.049753
LBFGS:   58 01:54:47    -2850.448578        0.042012
LBFGS:   59 01:54:54    -2850.450090        0.040182
LBFGS:   60 01:55:00    -2850.451557        0.046417
LBFGS:   61 01:55:06    -2850.453043        0.037327
LBFGS:   62 01:55:12    -2850.454426        0.052616
LBFGS:   63 01:55:19    -2850.455746        0.055572
LBFGS:   64 01:55:25    -2850.456991        0.044826
LBFGS:   65 01:55:31    -2850.458367        0.040695
LBFGS:   66 01:55:38    -2850.459608        0.036748
LBFGS:   67 01:55:44    -2850.460634        0.031851
LBFGS:   68 01:55:50    -2850.461601        0.042682
LBFGS:   69 01:55:57    -2850.462603        0.033763
LBFGS:   70 01:56:03    -2850.463544        0.046828
LBFGS:   71 01:56:09    -2850.464452        0.038673
LBFGS:   72 01:56:15    -2850.465241        0.038267
LBFGS:   73 01:56:22    -2850.466100        0.029229
LBFGS:   74 01:56:28    -2850.466909        0.024229
LBFGS:   75 01:56:34    -2850.467734        0.023432
LBFGS:   76 01:56:41    -2850.468476        0.025122
LBFGS:   77 01:56:47    -2850.469244        0.028065
LBFGS:   78 01:56:53    -2850.469938        0.027247
LBFGS:   79 01:57:00    -2850.470574        0.024627
LBFGS:   80 01:57:06    -2850.471115        0.033741
LBFGS:   81 01:57:12    -2850.471652        0.024675
LBFGS:   82 01:57:18    -2850.472184        0.026067
LBFGS:   83 01:57:25    -2850.472732        0.015923
