       Step     Time          Energy          fmax
LBFGS:    0 02:34:15    -2843.025671        1.059191
LBFGS:    1 02:34:22    -2843.091676        1.133988
LBFGS:    2 02:34:29    -2843.222762        1.430142
LBFGS:    3 02:34:36    -2843.443736        2.174264
LBFGS:    4 02:34:42    -2843.731731        3.122799
LBFGS:    5 02:34:49    -2844.051453        3.908567
LBFGS:    6 02:34:56    -2844.453148        3.865663
LBFGS:    7 02:35:02    -2844.793232        3.538687
LBFGS:    8 02:35:09    -2845.691160        3.475716
LBFGS:    9 02:35:16    -2846.130440        2.305069
LBFGS:   10 02:35:22    -2846.564793        1.691184
LBFGS:   11 02:35:29    -2846.793058        1.352248
LBFGS:   12 02:35:36    -2846.965583        1.070614
LBFGS:   13 02:35:42    -2847.071389        0.676633
LBFGS:   14 02:35:49    -2847.151454        0.514857
LBFGS:   15 02:35:56    -2847.206991        0.732078
LBFGS:   16 02:36:02    -2847.267609        0.798906
LBFGS:   17 02:36:09    -2847.323298        0.655417
LBFGS:   18 02:36:16    -2847.367289        0.442110
LBFGS:   19 02:36:22    -2847.399332        0.350134
LBFGS:   20 02:36:29    -2847.427074        0.346876
LBFGS:   21 02:36:36    -2847.455656        0.303224
LBFGS:   22 02:36:42    -2847.483450        0.256724
LBFGS:   23 02:36:49    -2847.507157        0.282613
LBFGS:   24 02:36:56    -2847.528987        0.254812
LBFGS:   25 02:37:03    -2847.549478        0.199047
LBFGS:   26 02:37:09    -2847.567070        0.189810
LBFGS:   27 02:37:16    -2847.582779        0.166947
LBFGS:   28 02:37:23    -2847.599068        0.174954
LBFGS:   29 02:37:29    -2847.610715        0.213226
LBFGS:   30 02:37:36    -2847.622390        0.146021
LBFGS:   31 02:37:43    -2847.632742        0.131612
LBFGS:   32 02:37:49    -2847.645950        0.199013
LBFGS:   33 02:37:56    -2847.655053        0.145649
LBFGS:   34 02:38:03    -2847.670158        0.181243
LBFGS:   35 02:38:09    -2847.676850        0.118785
LBFGS:   36 02:38:16    -2847.691558        0.188606
LBFGS:   37 02:38:23    -2847.697172        0.230924
LBFGS:   38 02:38:30    -2847.705847        0.106721
LBFGS:   39 02:38:36    -2847.711507        0.075728
LBFGS:   40 02:38:43    -2847.719757        0.100822
LBFGS:   41 02:38:50    -2847.723117        0.103658
LBFGS:   42 02:38:56    -2847.728534        0.099863
LBFGS:   43 02:39:03    -2847.732748        0.077195
LBFGS:   44 02:39:10    -2847.737093        0.077607
LBFGS:   45 02:39:16    -2847.740595        0.093558
LBFGS:   46 02:39:23    -2847.743751        0.071718
LBFGS:   47 02:39:30    -2847.746573        0.061074
LBFGS:   48 02:39:36    -2847.749452        0.062375
LBFGS:   49 02:39:43    -2847.752675        0.082767
LBFGS:   50 02:39:50    -2847.755799        0.160094
LBFGS:   51 02:39:57    -2847.758702        0.085856
LBFGS:   52 02:40:03    -2847.761705        0.079652
LBFGS:   53 02:40:10    -2847.764098        0.114034
LBFGS:   54 02:40:17    -2847.765923        0.112517
LBFGS:   55 02:40:24    -2847.768748        0.096808
LBFGS:   56 02:40:30    -2847.772010        0.132791
LBFGS:   57 02:40:37    -2847.775153        0.267414
LBFGS:   58 02:40:44    -2847.778306        0.191579
LBFGS:   59 02:40:51    -2847.787691        0.181880
LBFGS:   60 02:40:57    -2847.782190        1.014483
LBFGS:   61 02:41:04    -2847.796975        0.742905
LBFGS:   62 02:41:11    -2847.809167        0.213500
LBFGS:   63 02:41:18    -2847.817634        0.271027
LBFGS:   64 02:41:24    -2847.791408        2.068610
LBFGS:   65 02:41:31    -2847.836027        0.268470
LBFGS:   66 02:41:38    -2847.844895        0.318692
LBFGS:   67 02:41:44    -2847.855183        1.096016
LBFGS:   68 02:41:51    -2847.868756        0.339556
LBFGS:   69 02:41:58    -2847.876304        0.269246
LBFGS:   70 02:42:05    -2847.902274        0.570406
LBFGS:   71 02:42:12    -2847.911949        0.207207
LBFGS:   72 02:42:18    -2847.922919        0.231270
LBFGS:   73 02:42:25    -2847.936518        0.197682
LBFGS:   74 02:42:32    -2847.947671        0.213895
LBFGS:   75 02:42:38    -2847.956673        0.111687
LBFGS:   76 02:42:45    -2847.959902        0.703500
LBFGS:   77 02:42:52    -2847.969736        0.118346
LBFGS:   78 02:42:58    -2847.974775        0.095784
LBFGS:   79 02:43:05    -2847.981722        0.078639
LBFGS:   80 02:43:12    -2847.984077        0.056172
LBFGS:   81 02:43:19    -2847.988702        0.048181
LBFGS:   82 02:43:26    -2847.991007        0.065081
LBFGS:   83 02:43:32    -2847.993618        0.061112
LBFGS:   84 02:43:39    -2847.995924        0.056834
LBFGS:   85 02:43:46    -2847.998072        0.046455
LBFGS:   86 02:43:53    -2847.999913        0.046212
LBFGS:   87 02:43:59    -2848.001638        0.097084
LBFGS:   88 02:44:06    -2848.003191        0.055067
LBFGS:   89 02:44:13    -2848.004600        0.040613
LBFGS:   90 02:44:20    -2848.005995        0.060166
LBFGS:   91 02:44:26    -2848.007295        0.059924
LBFGS:   92 02:44:33    -2848.008763        0.060760
LBFGS:   93 02:44:40    -2848.010104        0.041899
LBFGS:   94 02:44:47    -2848.011331        0.035352
LBFGS:   95 02:44:53    -2848.012494        0.041630
LBFGS:   96 02:45:00    -2848.013683        0.036260
LBFGS:   97 02:45:07    -2848.014834        0.043480
LBFGS:   98 02:45:14    -2848.015921        0.031766
LBFGS:   99 02:45:21    -2848.016951        0.034571
LBFGS:  100 02:45:27    -2848.017937        0.037261
