       Step     Time          Energy          fmax
LBFGS:  101 02:45:34    -2848.018828        0.028941
LBFGS:  102 02:45:41    -2848.019633        0.031876
LBFGS:  103 02:45:48    -2848.020363        0.033144
LBFGS:  104 02:45:54    -2848.021063        0.028196
LBFGS:  105 02:46:01    -2848.021706        0.036096
LBFGS:  106 02:46:08    -2848.022311        0.025758
LBFGS:  107 02:46:15    -2848.022894        0.023069
LBFGS:  108 02:46:21    -2848.023491        0.025089
LBFGS:  109 02:46:28    -2848.024068        0.026001
LBFGS:  110 02:46:35    -2848.024599        0.028246
LBFGS:  111 02:46:42    -2848.025068        0.026594
LBFGS:  112 02:46:48    -2848.025514        0.022202
LBFGS:  113 02:46:55    -2848.025954        0.016537
